stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
5077,,Botika Zaharra 1,,43.26997,-2.94026,,,0,
5078,,Kobeta Mendia 41 / Mirador,,43.25697,-2.96029,,,0,
5079,,Gran Vía 43,,43.26331,-2.93667,,,0,
5080,,Vía Vieja De Lezama 85,,43.27233,-2.9251,,,0,
5081,,San Isidro,,43.26097,-2.91258,,,0,
5082,,Zabalbide 61,,43.25802,-2.91103,,,0,
5083,,Maurice Ravel / Mirador,,43.26989,-2.92282,,,0,
5084,,Hermanos Aguirre / Unibertsitatea,,43.27099,-2.94094,,,0,
5085,,Julián Gaiarre 39 / Artalandio,,43.25551,-2.90085,,,0,
5086,,Párroco Ugaz / Rotonda,,43.26137,-2.91593,,,0,
5087,,Julián Zugazagoitia 13,,43.24883,-2.92799,,,0,
5088,,San Pedro / Eliza,,43.27195,-2.94518,,,0,
5089,,Zorrotzaurre 9,,43.27254,-2.9653,,,0,
5090,,Zizeruena 22,,43.26144,-2.8994,,,0,
5091,,Arabella,,43.2612,-2.91148,,,0,
5092,,Vía Vieja De Lezama / Nueva Aurora,,43.26932,-2.9186,,,0,
5093,,Zazpilanda 7,,43.27326,-2.97145,,,0,
5094,,Gordoniz 54 / Pza Errekalde,,43.25235,-2.94613,,,0,
5095,,Arbolantxa 18,,43.26074,-2.89661,,,0,
5096,,Gabriel Aresti / Jesús Galíndez,,43.26027,-2.90545,,,0,
5097,,Ibarrekolanda 19,,43.27363,-2.95434,,,0,
5098,,Monasterio 5,,43.25314,-2.93551,,,0,
5099,,Julián Gaiarre 23,,43.25297,-2.9023,,,0,
5100,,San Adrián 48 / Irustabidea,,43.24339,-2.93175,,,0,
5101,,Virgen Del Pinar 5,,43.27656,-2.9506,,,0,
5102,,Buia / Bolintxubidea,,43.23264,-2.91452,,,0,
5103,,L. Aguirre 135 / Residencia,,43.2758,-2.95973,,,0,
5104,,Vía Vieja De Lezama 70,,43.2679413607,-2.91557925419,,,0,
5105,,Jaén 9,,43.25265,-2.94301,,,0,
5106,,Araneko 17,,43.2741,-2.9484,,,0,
5107,,I. Ellacuria / Elorrieta,,43.28403,-2.96549,,,0,
5108,,Ribera De Deustu 36,,43.26637,-2.95933,,,0,
5109,,Rotonda Juan De Garay,,43.2506,-2.93381,,,0,
5110,,Circunvalación 1,,43.2512088865,-2.94892922044,,,0,
5111,,Autonomía 43,,43.25759,-2.94256,,,0,
5112,,Urazurrutia 14,,43.25372,-2.92308,,,0,
5113,,Gurtubay / Ospitalea,,43.26004,-2.9512,,,0,
5114,,Gran Vía 37,,43.26266,-2.93358,,,0,
5115,,Zorrotza - Kastrexana 200,,43.2583,-2.96971,,,0,
5116,,Enrique Ibarreta 2,,43.25446,-2.91074,,,0,
5117,,Peñascal 29,,43.2401,-2.9497,,,0,
5118,,Jesús Galíndez 3 / Colegio Alemán,,43.25888,-2.90908,,,0,
5119,,Urazurrutia 40,,43.25233,-2.92311,,,0,
5120,,Ciudadela 2a,,43.25214,-2.94493,,,0,
5121,,San Adrián 48,,43.24318,-2.93197,,,0,
5122,,Zumalacárregui / Makua,,43.25686,-2.91166,,,0,
5124,,Errekalde - Larraskitu / Kiroldegia,,43.24561,-2.9371,,,0,
5125,,Ribera 20 / Merkatua,,43.25611,-2.92525,,,0,
5126,,Plaza Biribila / Navarra,,43.26108,-2.92696,,,0,
5127,,Irala 53 / Eskurtze,,43.25185,-2.93774,,,0,
5128,,Botika Zaharra / Euskalduna,,43.26682,-2.94997,,,0,
5129,,Iturrigorribidea 45,,43.24577,-2.94869,,,0,
5130,,Gregorio La Revilla 17,,43.26161,-2.94002,,,0,
5131,,Ospitalea,,43.25972,-2.95197,,,0,
5132,,L. Aguirre 140 / Residencia,,43.27689,-2.96012,,,0,
5133,,Vía Vieja De Lezama 75 / Montaño,,43.27147,-2.92121,,,0,
5134,,Dr. Ornilla 12,,43.25492,-2.90719,,,0,
5135,,Atxuri 15,,43.25366,-2.92128,,,0,
5136,,San Adrián 36,,43.24827,-2.9332,,,0,
5137,,Cº Ventosa 46,,43.26468,-2.95344,,,0,
5138,,L. Aguirre 81,,43.27373,-2.95748,,,0,
5139,,Santa Klara 12,,43.25504,-2.91199,,,0,
5140,,Juan De Garay / Giña Estrata,,43.2512,-2.93472,,,0,
5141,,Peñascal 29,,43.24051,-2.94967,,,0,
5142,,Kobeta Mendia 33,,43.25865,-2.96235,,,0,
5143,,Txomin Garat 12 / Anbulatorioa,,43.25685,-2.90682,,,0,
5144,,Kobetabidea 193 / Alto Kastrexana,,43.268,-2.96804,,,0,
5145,,Zamacola 4,,43.25103,-2.92289,,,0,
5146,,Auntzetxeta 7,,43.25841,-2.95587,,,0,
5148,,Berrizbidea / Anbulatorioa,,43.27602,-2.94955,,,0,
5149,,Kobeta Mendia 34,,43.25849,-2.9622,,,0,
5150,,Deustuko Zubia,,43.26767,-2.93948,,,0,
5152,,San Adrián 33,,43.247,-2.93247,,,0,
5153,,Madariaga 19,,43.27102,-2.94706,,,0,
5154,,Vía Vieja De Lezama 35,,43.26526,-2.91333,,,0,
5155,,Iturrigorribidea 37,,43.24706,-2.94818,,,0,
5156,,Fray Juan 11,,43.27658,-2.97195,,,0,
5157,,Elcano 2,,43.2654,-2.93675,,,0,
5158,,Montevideo / Olabeaga,,43.26469,-2.96098,,,0,
5159,,Auntzetxeta 4,,43.25837,-2.95576,,,0,
5160,,Unamuno,,43.25818,-2.92154,,,0,
5161,,Gernika 10,,43.25051,-2.92989,,,0,
5162,,Aranekobidea / Cementerio,,43.27543,-2.95235,,,0,
5163,,Zorrotzaurre 17,,43.27463,-2.9671,,,0,
5164,,Atxuri 49,,43.25167,-2.92154,,,0,
5165,,Ondarroa / Parkea,,43.25336,-2.90376,,,0,
5166,,Gral. Concha 2 / P. Eguillor,,43.26116,-2.93414,,,0,
5167,,Campo Volantín 23,,43.26687,-2.9273,,,0,
5168,,Zazpilanda / Pinadia,,43.27224,-2.96918,,,0,
5169,,Dr. Ornilla / Artalandio,,43.25618,-2.90438,,,0,
5170,,San Justo 12,,43.24007,-2.94308,,,0,
